6.87525359 3.46340719 2.00316635 3.30629232 3.76777244 1.00010478	(74)
0.31923825 1.88244117 3.19325116 2.12399766 3.98236983 0.00000000	(75)
7.73100469 8.31825817 6.74728163 6.63615298 6.07843629 1.00005255	(76)
1.54575760 1.58649030 3.76292075 0.20814410 9.61809463 0.99999991	(77)
8.68728112 3.07387107 5.44899854 7.51871159 3.29131037 1.00012866	(78)
4.18981888 5.41651063 2.89318703 8.26331044 1.94492206 1.00000737	(79)
9.80299338 2.64162868 9.54054562 5.31180190 9.97044600 0.00003141	(80)
4.04506136 1.53603329 5.52088052 2.02560460 4.51945524 1.00000111	(81)
7.26421791 6.99285558 2.13667845 8.59579416 3.66468260 0.00001971	(82)
4.90182097 8.32556750 0.48053749 1.19658766 9.61108695 0.00012747	(83)
6.48797479 8.14819696 8.28557856 4.00035631 4.27685368 1.00000073	(84)
3.00066180 8.16952577 3.74713446 3.81017256 2.48921943 1.00020413	(85)
3.81396058 3.24037320 5.21159241 4.15207185 2.32480984 0.00013874	(86)
3.38566994 3.42664206 2.01688644 8.10846057 6.39355748 0.00000023	(87)
5.34914324 1.25397034 5.81231085 5.03618614 5.14432510 0.00001128	(88)
5.07129403 7.19378558 0.35656627 9.45952458 4.30844901 1.00002818	(89)
7.49277436 1.45022563 0.87882061 1.96691980 7.24797869 0.00000779	(90)
9.61495771 3.85426968 0.88041778 2.80453244 2.77002960 1.00002392	(91)
1.69674576 4.49851296 4.45542019 1.80336013 2.70630313 1.00000035	(92)
3.82468644 5.55971017 5.66959961 2.69381425 8.63699340 0.00011266	(93)
3.23790439 4.67983905 9.56781596 8.82668626 5.66987116 0.00002422	(94)
0.22108616 8.04428257 0.20804190 6.34067477 8.03303333 0.00015385	(95)
5.06716717 6.23670739 6.85431137 6.49115004 5.80969702 1.00041176	(96)
3.52005852 6.73657771 5.02370194 3.63962744 0.27574729 0.00007520	(97)
0.11649351 1.62366581 5.90518840 9.98520194 4.49402914 0.00000004	(98)
5.71907022 3.11058775 1.39425110 2.15575290 2.82632217 1.00000020	(99)
