1.59655206 7.63696025 4.37385182 3.84858483 8.87457079 0.00000003	(66)
4.64285408 0.00854893 2.03310840 0.94440995 5.24938938 0.00000010	(67)
5.63069431 9.97095465 3.05823572 8.60976575 1.82583465 0.00000000	(68)
3.36403241 4.45914605 7.40024153 6.96085495 0.70928684 0.00001326	(69)
2.69215462 0.49159765 2.14670776 6.21042124 9.40905964 0.00000000	(70)
5.23297844 9.65769557 3.71718607 6.96480548 6.81016528 0.00000000	(71)
5.29447845 6.03129006 7.44844812 0.80833865 8.49423383 0.00000000	(72)
4.20471516 9.86193679 1.72056648 3.32126788 2.47461378 0.00000000	(73)
3.65345994 5.26327924 8.99177793 4.32691714 9.78936517 0.00000000	(74)
6.88547675 7.62763558 7.26538631 8.24954450 9.60105142 0.00000000	(75)
4.68542702 8.03983621 8.58209212 3.87511439 6.68641182 0.00000000	(76)
8.86708769 7.69604376 4.74113773 9.21116798 4.89979745 0.00000000	(77)
8.68707561 3.07432367 5.44895913 7.51899099 3.29153396 0.00000000	(78)
8.30886036 4.77432404 1.10771791 6.08675964 5.80374570 0.00000000	(79)
3.83120631 5.51070564 1.79781273 7.01954439 7.27880219 0.00000008	(80)
1.42949529 0.19082783 0.87956992 7.42026378 7.22017226 0.00000000	(81)
7.44347124 1.12500751 0.90121713 5.73976600 4.74134982 0.00000000	(82)
3.57697933 5.21282208 5.60613484 7.01363354 4.52845552 0.00000196	(83)
1.21025161 6.87080991 3.46498089 2.13979527 6.06537111 0.00000002	(84)
8.61293621 5.89483373 9.83506989 9.27080658 6.28676141 0.00000000	(85)
5.36122836 5.84834569 0.83522671 0.48635275 9.57307507 0.00000001	(86)
8.03351176 7.60061054 2.33041888 0.88570469 6.90067299 0.00000092	(87)
4.43011648 4.77667621 9.21855333 3.61884837 4.56573149 0.00000000	(88)
9.34244126 4.34764777 1.01210075 3.04612146 4.94004209 0.00000011	(89)
2.16658812 0.63066846 4.79661290 5.32049818 9.61895791 0.00000000	(90)
7.53595221 0.35102881 6.11611442 0.99812217 6.10446226 0.00000000	(91)
3.00600769 0.56473303 7.25731161 4.22243257 8.04577253 0.00000000	(92)
0.26747641 6.90541915 2.52203592 6.89187736 8.43506640 0.00000106	(93)
8.44555106 8.49416915 1.13366958 1.47966404 8.17836762 0.00000000	(94)
1.21559748 0.96651206 3.50894399 7.15924246 8.47592854 0.00000001	(95)
4.96300184 7.48037308 0.05497474 3.59907761 8.40655311 0.00000000	(96)
0.03304370 9.04999950 3.37061610 2.73742235 8.14161671 0.00000000	(97)
9.30994082 6.66465369 5.66494279 2.76570328 0.26510314 0.99999976	(98)
6.72374682 7.69794148 7.52405895 4.10303891 0.37925988 0.00000000	(99)
